entry_z,exit_z,cooldown,total_return,ann_return,sharpe,max_dd,num_trades,win_rate,profit_factor,pct_time_invested,total_costs
1.0,0.2,21,2.3822434881330237,0.3378555925949378,-0.8763314206714495,13.854039026829224,37,35.13513513513514,0.7361137605666546,36.93181818181818,29728.34910000024
1.0,0.2,15,1.7495926720165529,0.2487938029430703,-0.901415217084853,13.771931848205728,37,35.13513513513514,0.7033786546928623,36.93181818181818,28257.957274694974
1.0,0.2,42,2.417885713705595,0.34285910444644685,-0.875312924618303,13.85989064621261,37,35.13513513513514,0.7326902346400241,36.93181818181818,29063.52998134126
1.0,0.5,10,-1.0629355534897769,-0.15297753549348148,-0.9902672475311319,13.772006361390282,41,29.268292682926827,0.41527504184346803,33.97727272727273,30573.007342229634
1.0,0.2,30,2.1250852707272863,0.30171102470164524,-0.8824742864976945,14.054726146899679,37,35.13513513513514,0.7410535224984947,36.93181818181818,29595.882323310554
1.0,0.5,21,-0.6952662054543965,-0.0999040135257756,-0.9738903301198577,13.771994496027856,41,29.268292682926827,0.41876747606225934,33.97727272727273,29979.515446917685
1.0,0.2,10,1.9609779952964514,0.2786043425889728,-0.8938626088592311,13.771932148926833,37,35.13513513513514,0.7303924488054833,36.93181818181818,29900.883837085377
1.0,0.5,15,-1.5146352453749743,-0.21841274973800617,-1.0064680673778386,13.77200438095651,41,29.268292682926827,0.4064526245626448,33.97727272727273,29694.018692046102
1.2,0.2,10,3.2865538883319356,0.4643452534346171,-0.8660435561145305,13.581656752165063,36,33.33333333333333,0.7715435615404878,35.79545454545455,29910.58701684978
1.0,0.5,42,-0.7807398900364758,-0.11222720691063115,-0.9763093773563585,13.771993405950886,41,29.268292682926827,0.4172402492829811,33.97727272727273,29535.512624466686
1.0,0.8,15,-0.8035797775576473,-0.115521694205023,-1.0459581703231906,13.772009423763576,48,25.0,0.3716580662016143,30.852272727272727,31643.73087869311
1.0,0.8,21,-1.3133808063527337,-0.18922645082110057,-1.05858330082839,13.771992208103528,48,22.916666666666664,0.36324902212808646,30.852272727272727,31519.21170494573
1.0,0.8,10,-1.8516495746362955,-0.2674018292304625,-1.083545501592558,13.772001638787184,48,25.0,0.3604844505962707,30.852272727272727,32796.098892756614
1.0,0.5,30,-0.8104347262764233,-0.11651059738617686,-0.9754798580131517,14.05481267333461,41,29.268292682926827,0.4238393654875789,33.97727272727273,29944.66090081958
1.0,0.8,42,-1.348912657627114,-0.19437563800305258,-1.0596641840465502,13.771991117841335,48,22.916666666666664,0.3629557197697301,30.852272727272727,30875.05274252398
